Time_Step,Class
0.0,"['car', 'person', 'person', 'person', 'person', 'person']"
40.0,"['car', 'person', 'person', 'person', 'person', 'person']"
80.0,"['car', 'person', 'person', 'person', 'person', 'person']"
120.0,"['person', 'car', 'person', 'person', 'person', 'person']"
160.0,"['person', 'car', 'person', 'person', 'person', 'person']"
200.0,"['person', 'car', 'person', 'person', 'person', 'person']"
240.0,"['person', 'car', 'person', 'person', 'person', 'person']"
280.0,"['person', 'car', 'person', 'person', 'person', 'person']"
320.0,"['person', 'car', 'person', 'person', 'person', 'person']"
360.0,"['person', 'car', 'person', 'person', 'person', 'person']"
400.0,"['person', 'car', 'person', 'person', 'person', 'person']"
440.0,"['person', 'car', 'person', 'person', 'person', 'person']"
480.0,"['person', 'car', 'person', 'person', 'person', 'person']"
520.0,"['person', 'person', 'car', 'person', 'person', 'person']"
560.0,"['person', 'car', 'person', 'person', 'person', 'person']"
600.0,"['person', 'person', 'car', 'person', 'person', 'person']"
640.0,"['person', 'person', 'car', 'person', 'person', 'person']"
680.0,"['person', 'car', 'person', 'person', 'person', 'person']"
720.0,"['person', 'car', 'person', 'person', 'person', 'person']"
760.0,"['person', 'car', 'person', 'person', 'person', 'person']"
800.0,"['person', 'person', 'car', 'person', 'person']"
840.0,"['person', 'car', 'person', 'person', 'person']"
880.0,"['person', 'car', 'person', 'person', 'person', 'person']"
920.0,"['person', 'car', 'person', 'person', 'person', 'person']"
960.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1000.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1040.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1080.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1120.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1160.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1200.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1240.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1280.0,"['car', 'person', 'person', 'person', 'person']"
1320.0,"['car', 'person', 'person', 'person', 'person']"
1360.0,"['person', 'car', 'person', 'person', 'person']"
1400.0000000000002,"['person', 'car', 'person', 'person', 'person', 'person']"
1440.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1480.0,"['person', 'person', 'car', 'person', 'person', 'person']"
1520.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1560.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1600.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1640.0000000000002,"['person', 'person', 'car', 'person', 'person', 'person']"
1680.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1720.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1760.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1800.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1840.0,"['person', 'car', 'person', 'person', 'person', 'person']"
1880.0000000000002,"['person', 'car', 'person', 'person', 'person', 'person']"
1920.0,"['car', 'person', 'person', 'person', 'person', 'person']"
1960.0,"['car', 'person', 'person', 'person', 'person', 'person']"
2000.0,"['car', 'person', 'person', 'person', 'person', 'person']"
2040.0,"['car', 'person', 'person', 'person', 'person', 'person']"
2080.0,"['person', 'car', 'person', 'person', 'person', 'person']"
2120.0,"['person', 'person', 'car', 'person', 'person', 'person']"
2160.0,"['person', 'car', 'person', 'person', 'person', 'person']"
2200.0,"['person', 'car', 'person', 'person', 'person', 'person']"
2240.0,"['person', 'car', 'person', 'person', 'person', 'person']"
2280.0000000000005,"['person', 'car', 'person', 'person', 'person', 'person']"
2320.0,"['person', 'person', 'car', 'person', 'person']"
2360.0,"['person', 'person', 'car', 'person', 'person']"
